ï»¿Domain,Pattern,L1,L2,L3,Sub-Pattern
bbb.com,Chinese Premium LLL,B,B,B,AAA (Legendary Solid)
bbc.com,Chinese Premium LLL,B,B,C,AAB (Premium Double)
bbd.com,Chinese Premium LLL,B,B,D,AAB (Premium Double)
bbf.com,Chinese Premium LLL,B,B,F,AAB (Premium Double)
bbg.com,Chinese Premium LLL,B,B,G,AAB (Premium Double)
bbh.com,Chinese Premium LLL,B,B,H,AAB (Premium Double)
bbj.com,Chinese Premium LLL,B,B,J,AAB (Premium Double)
bbk.com,Chinese Premium LLL,B,B,K,AAB (Premium Double)
bbl.com,Chinese Premium LLL,B,B,L,AAB (Premium Double)
bbm.com,Chinese Premium LLL,B,B,M,AAB (Premium Double)
bbn.com,Chinese Premium LLL,B,B,N,AAB (Premium Double)
bbp.com,Chinese Premium LLL,B,B,P,AAB (Premium Double)
bbq.com,Chinese Premium LLL,B,B,Q,AAB (Premium Double)
bbr.com,Chinese Premium LLL,B,B,R,AAB (Premium Double)
bbs.com,Chinese Premium LLL,B,B,S,AAB (Premium Double)
bbt.com,Chinese Premium LLL,B,B,T,AAB (Premium Double)
bbw.com,Chinese Premium LLL,B,B,W,AAB (Premium Double)
bbx.com,Chinese Premium LLL,B,B,X,AAB (Premium Double)
bby.com,Chinese Premium LLL,B,B,Y,AAB (Premium Double)
bbz.com,Chinese Premium LLL,B,B,Z,AAB (Premium Double)
bcb.com,Chinese Premium LLL,B,C,B,ABA (Premium Symmetrical)
bcc.com,Chinese Premium LLL,B,C,C,ABB (Premium Double)
bcd.com,Chinese Premium LLL,B,C,D,ABC
bcf.com,Chinese Premium LLL,B,C,F,ABC
bcg.com,Chinese Premium LLL,B,C,G,ABC
bch.com,Chinese Premium LLL,B,C,H,ABC
bcj.com,Chinese Premium LLL,B,C,J,ABC
bck.com,Chinese Premium LLL,B,C,K,ABC
bcl.com,Chinese Premium LLL,B,C,L,ABC
bcm.com,Chinese Premium LLL,B,C,M,ABC
bcn.com,Chinese Premium LLL,B,C,N,ABC
bcp.com,Chinese Premium LLL,B,C,P,ABC
bcq.com,Chinese Premium LLL,B,C,Q,ABC
bcr.com,Chinese Premium LLL,B,C,R,ABC
bcs.com,Chinese Premium LLL,B,C,S,ABC
bct.com,Chinese Premium LLL,B,C,T,ABC
bcw.com,Chinese Premium LLL,B,C,W,ABC
bcx.com,Chinese Premium LLL,B,C,X,ABC
bcy.com,Chinese Premium LLL,B,C,Y,ABC
bcz.com,Chinese Premium LLL,B,C,Z,ABC
bdb.com,Chinese Premium LLL,B,D,B,ABA (Premium Symmetrical)
bdc.com,Chinese Premium LLL,B,D,C,ABC
bdd.com,Chinese Premium LLL,B,D,D,ABB (Premium Double)
bdf.com,Chinese Premium LLL,B,D,F,ABC
bdg.com,Chinese Premium LLL,B,D,G,ABC
bdh.com,Chinese Premium LLL,B,D,H,ABC
bdj.com,Chinese Premium LLL,B,D,J,ABC
bdk.com,Chinese Premium LLL,B,D,K,ABC
bdl.com,Chinese Premium LLL,B,D,L,ABC
bdm.com,Chinese Premium LLL,B,D,M,ABC
bdn.com,Chinese Premium LLL,B,D,N,ABC
bdp.com,Chinese Premium LLL,B,D,P,ABC
bdq.com,Chinese Premium LLL,B,D,Q,ABC
bdr.com,Chinese Premium LLL,B,D,R,ABC
bds.com,Chinese Premium LLL,B,D,S,ABC
bdt.com,Chinese Premium LLL,B,D,T,ABC
bdw.com,Chinese Premium LLL,B,D,W,ABC
bdx.com,Chinese Premium LLL,B,D,X,ABC
bdy.com,Chinese Premium LLL,B,D,Y,ABC
bdz.com,Chinese Premium LLL,B,D,Z,ABC
bfb.com,Chinese Premium LLL,B,F,B,ABA (Premium Symmetrical)
bfc.com,Chinese Premium LLL,B,F,C,ABC
bfd.com,Chinese Premium LLL,B,F,D,ABC
bff.com,Chinese Premium LLL,B,F,F,ABB (Premium Double)
bfg.com,Chinese Premium LLL,B,F,G,ABC
bfh.com,Chinese Premium LLL,B,F,H,ABC
bfj.com,Chinese Premium LLL,B,F,J,ABC
bfk.com,Chinese Premium LLL,B,F,K,ABC
bfl.com,Chinese Premium LLL,B,F,L,ABC
bfm.com,Chinese Premium LLL,B,F,M,ABC
bfn.com,Chinese Premium LLL,B,F,N,ABC
bfp.com,Chinese Premium LLL,B,F,P,ABC
bfq.com,Chinese Premium LLL,B,F,Q,ABC
bfr.com,Chinese Premium LLL,B,F,R,ABC
bfs.com,Chinese Premium LLL,B,F,S,ABC
bft.com,Chinese Premium LLL,B,F,T,ABC
bfw.com,Chinese Premium LLL,B,F,W,ABC
bfx.com,Chinese Premium LLL,B,F,X,ABC
bfy.com,Chinese Premium LLL,B,F,Y,ABC
bfz.com,Chinese Premium LLL,B,F,Z,ABC
bgb.com,Chinese Premium LLL,B,G,B,ABA (Premium Symmetrical)
bgc.com,Chinese Premium LLL,B,G,C,ABC
bgd.com,Chinese Premium LLL,B,G,D,ABC
bgf.com,Chinese Premium LLL,B,G,F,ABC
bgg.com,Chinese Premium LLL,B,G,G,ABB (Premium Double)
bgh.com,Chinese Premium LLL,B,G,H,ABC
bgj.com,Chinese Premium LLL,B,G,J,ABC
bgk.com,Chinese Premium LLL,B,G,K,ABC
bgl.com,Chinese Premium LLL,B,G,L,ABC
bgm.com,Chinese Premium LLL,B,G,M,ABC
bgn.com,Chinese Premium LLL,B,G,N,ABC
bgp.com,Chinese Premium LLL,B,G,P,ABC
bgq.com,Chinese Premium LLL,B,G,Q,ABC
bgr.com,Chinese Premium LLL,B,G,R,ABC
bgs.com,Chinese Premium LLL,B,G,S,ABC
bgt.com,Chinese Premium LLL,B,G,T,ABC
bgw.com,Chinese Premium LLL,B,G,W,ABC
bgx.com,Chinese Premium LLL,B,G,X,ABC
bgy.com,Chinese Premium LLL,B,G,Y,ABC
bgz.com,Chinese Premium LLL,B,G,Z,ABC
bhb.com,Chinese Premium LLL,B,H,B,ABA (Premium Symmetrical)
bhc.com,Chinese Premium LLL,B,H,C,ABC
bhd.com,Chinese Premium LLL,B,H,D,ABC
bhf.com,Chinese Premium LLL,B,H,F,ABC
bhg.com,Chinese Premium LLL,B,H,G,ABC
bhh.com,Chinese Premium LLL,B,H,H,ABB (Premium Double)
