ï»¿Domain,Pattern,Letter,Number,Significance
b00.com,Chinese Premium LNN,B,0,"Pure CHIP (No Vowels, No V, No 4)"
b01.com,Chinese Premium LNN,B,1,"Pure CHIP (No Vowels, No V, No 4)"
b02.com,Chinese Premium LNN,B,2,"Pure CHIP (No Vowels, No V, No 4)"
b03.com,Chinese Premium LNN,B,3,"Pure CHIP (No Vowels, No V, No 4)"
b05.com,Chinese Premium LNN,B,5,"Pure CHIP (No Vowels, No V, No 4)"
b06.com,Chinese Premium LNN,B,6,"Pure CHIP (No Vowels, No V, No 4)"
b07.com,Chinese Premium LNN,B,7,"Pure CHIP (No Vowels, No V, No 4)"
b08.com,Chinese Premium LNN,B,8,"Pure CHIP (No Vowels, No V, No 4)"
b09.com,Chinese Premium LNN,B,9,"Pure CHIP (No Vowels, No V, No 4)"
b10.com,Chinese Premium LNN,B,10,"Pure CHIP (No Vowels, No V, No 4)"
b11.com,Chinese Premium LNN,B,11,"Pure CHIP (No Vowels, No V, No 4)"
b12.com,Chinese Premium LNN,B,12,"Pure CHIP (No Vowels, No V, No 4)"
b13.com,Chinese Premium LNN,B,13,"Pure CHIP (No Vowels, No V, No 4)"
b15.com,Chinese Premium LNN,B,15,"Pure CHIP (No Vowels, No V, No 4)"
b16.com,Chinese Premium LNN,B,16,"Pure CHIP (No Vowels, No V, No 4)"
b17.com,Chinese Premium LNN,B,17,"Pure CHIP (No Vowels, No V, No 4)"
b18.com,Chinese Premium LNN,B,18,"Pure CHIP (No Vowels, No V, No 4)"
b19.com,Chinese Premium LNN,B,19,"Pure CHIP (No Vowels, No V, No 4)"
b20.com,Chinese Premium LNN,B,20,"Pure CHIP (No Vowels, No V, No 4)"
b21.com,Chinese Premium LNN,B,21,"Pure CHIP (No Vowels, No V, No 4)"
b22.com,Chinese Premium LNN,B,22,"Pure CHIP (No Vowels, No V, No 4)"
b23.com,Chinese Premium LNN,B,23,"Pure CHIP (No Vowels, No V, No 4)"
b25.com,Chinese Premium LNN,B,25,"Pure CHIP (No Vowels, No V, No 4)"
b26.com,Chinese Premium LNN,B,26,"Pure CHIP (No Vowels, No V, No 4)"
