ï»¿Domain,Pattern,Number,Letter 1,Letter 2,Significance
0bb.com,Chinese Premium NLL,0,B,B,Premium Double Letter + CHIP
0bc.com,Chinese Premium NLL,0,B,C,Pure CHIP NLL
0bd.com,Chinese Premium NLL,0,B,D,Pure CHIP NLL
0bf.com,Chinese Premium NLL,0,B,F,Pure CHIP NLL
0bg.com,Chinese Premium NLL,0,B,G,Pure CHIP NLL
0bh.com,Chinese Premium NLL,0,B,H,Pure CHIP NLL
0bj.com,Chinese Premium NLL,0,B,J,Pure CHIP NLL
0bk.com,Chinese Premium NLL,0,B,K,Pure CHIP NLL
0bl.com,Chinese Premium NLL,0,B,L,Pure CHIP NLL
0bm.com,Chinese Premium NLL,0,B,M,Pure CHIP NLL
0bn.com,Chinese Premium NLL,0,B,N,Pure CHIP NLL
0bp.com,Chinese Premium NLL,0,B,P,Pure CHIP NLL
0bq.com,Chinese Premium NLL,0,B,Q,Pure CHIP NLL
0br.com,Chinese Premium NLL,0,B,R,Pure CHIP NLL
0bs.com,Chinese Premium NLL,0,B,S,Pure CHIP NLL
0bt.com,Chinese Premium NLL,0,B,T,Pure CHIP NLL
0bw.com,Chinese Premium NLL,0,B,W,Pure CHIP NLL
0bx.com,Chinese Premium NLL,0,B,X,Pure CHIP NLL
0by.com,Chinese Premium NLL,0,B,Y,Pure CHIP NLL
0bz.com,Chinese Premium NLL,0,B,Z,Pure CHIP NLL
0cb.com,Chinese Premium NLL,0,C,B,Pure CHIP NLL
0cc.com,Chinese Premium NLL,0,C,C,Premium Double Letter + CHIP
0cd.com,Chinese Premium NLL,0,C,D,Pure CHIP NLL
0cf.com,Chinese Premium NLL,0,C,F,Pure CHIP NLL
0cg.com,Chinese Premium NLL,0,C,G,Pure CHIP NLL
0ch.com,Chinese Premium NLL,0,C,H,Pure CHIP NLL
0cj.com,Chinese Premium NLL,0,C,J,Pure CHIP NLL
0ck.com,Chinese Premium NLL,0,C,K,Pure CHIP NLL
0cl.com,Chinese Premium NLL,0,C,L,Pure CHIP NLL
0cm.com,Chinese Premium NLL,0,C,M,Pure CHIP NLL
0cn.com,Chinese Premium NLL,0,C,N,Pure CHIP NLL
0cp.com,Chinese Premium NLL,0,C,P,Pure CHIP NLL
0cq.com,Chinese Premium NLL,0,C,Q,Pure CHIP NLL
0cr.com,Chinese Premium NLL,0,C,R,Pure CHIP NLL
0cs.com,Chinese Premium NLL,0,C,S,Pure CHIP NLL
0ct.com,Chinese Premium NLL,0,C,T,Pure CHIP NLL
0cw.com,Chinese Premium NLL,0,C,W,Pure CHIP NLL
0cx.com,Chinese Premium NLL,0,C,X,Pure CHIP NLL
0cy.com,Chinese Premium NLL,0,C,Y,Pure CHIP NLL
0cz.com,Chinese Premium NLL,0,C,Z,Pure CHIP NLL
0db.com,Chinese Premium NLL,0,D,B,Pure CHIP NLL
0dc.com,Chinese Premium NLL,0,D,C,Pure CHIP NLL
0dd.com,Chinese Premium NLL,0,D,D,Premium Double Letter + CHIP
0df.com,Chinese Premium NLL,0,D,F,Pure CHIP NLL
0dg.com,Chinese Premium NLL,0,D,G,Pure CHIP NLL
0dh.com,Chinese Premium NLL,0,D,H,Pure CHIP NLL
0dj.com,Chinese Premium NLL,0,D,J,Pure CHIP NLL
0dk.com,Chinese Premium NLL,0,D,K,Pure CHIP NLL
0dl.com,Chinese Premium NLL,0,D,L,Pure CHIP NLL
0dm.com,Chinese Premium NLL,0,D,M,Pure CHIP NLL
0dn.com,Chinese Premium NLL,0,D,N,Pure CHIP NLL
0dp.com,Chinese Premium NLL,0,D,P,Pure CHIP NLL
0dq.com,Chinese Premium NLL,0,D,Q,Pure CHIP NLL
0dr.com,Chinese Premium NLL,0,D,R,Pure CHIP NLL
0ds.com,Chinese Premium NLL,0,D,S,Pure CHIP NLL
0dt.com,Chinese Premium NLL,0,D,T,Pure CHIP NLL
0dw.com,Chinese Premium NLL,0,D,W,Pure CHIP NLL
0dx.com,Chinese Premium NLL,0,D,X,Pure CHIP NLL
0dy.com,Chinese Premium NLL,0,D,Y,Pure CHIP NLL
0dz.com,Chinese Premium NLL,0,D,Z,Pure CHIP NLL
0fb.com,Chinese Premium NLL,0,F,B,Pure CHIP NLL
0fc.com,Chinese Premium NLL,0,F,C,Pure CHIP NLL
0fd.com,Chinese Premium NLL,0,F,D,Pure CHIP NLL
0ff.com,Chinese Premium NLL,0,F,F,Premium Double Letter + CHIP
0fg.com,Chinese Premium NLL,0,F,G,Pure CHIP NLL
0fh.com,Chinese Premium NLL,0,F,H,Pure CHIP NLL
0fj.com,Chinese Premium NLL,0,F,J,Pure CHIP NLL
0fk.com,Chinese Premium NLL,0,F,K,Pure CHIP NLL
0fl.com,Chinese Premium NLL,0,F,L,Pure CHIP NLL
0fm.com,Chinese Premium NLL,0,F,M,Pure CHIP NLL
0fn.com,Chinese Premium NLL,0,F,N,Pure CHIP NLL
0fp.com,Chinese Premium NLL,0,F,P,Pure CHIP NLL
0fq.com,Chinese Premium NLL,0,F,Q,Pure CHIP NLL
0fr.com,Chinese Premium NLL,0,F,R,Pure CHIP NLL
0fs.com,Chinese Premium NLL,0,F,S,Pure CHIP NLL
0ft.com,Chinese Premium NLL,0,F,T,Pure CHIP NLL
0fw.com,Chinese Premium NLL,0,F,W,Pure CHIP NLL
0fx.com,Chinese Premium NLL,0,F,X,Pure CHIP NLL
0fy.com,Chinese Premium NLL,0,F,Y,Pure CHIP NLL
0fz.com,Chinese Premium NLL,0,F,Z,Pure CHIP NLL
0gb.com,Chinese Premium NLL,0,G,B,Pure CHIP NLL
0gc.com,Chinese Premium NLL,0,G,C,Pure CHIP NLL
0gd.com,Chinese Premium NLL,0,G,D,Pure CHIP NLL
0gf.com,Chinese Premium NLL,0,G,F,Pure CHIP NLL
0gg.com,Chinese Premium NLL,0,G,G,Premium Double Letter + CHIP
0gh.com,Chinese Premium NLL,0,G,H,Pure CHIP NLL
0gj.com,Chinese Premium NLL,0,G,J,Pure CHIP NLL
0gk.com,Chinese Premium NLL,0,G,K,Pure CHIP NLL
0gl.com,Chinese Premium NLL,0,G,L,Pure CHIP NLL
0gm.com,Chinese Premium NLL,0,G,M,Pure CHIP NLL
0gn.com,Chinese Premium NLL,0,G,N,Pure CHIP NLL
0gp.com,Chinese Premium NLL,0,G,P,Pure CHIP NLL
0gq.com,Chinese Premium NLL,0,G,Q,Pure CHIP NLL
0gr.com,Chinese Premium NLL,0,G,R,Pure CHIP NLL
0gs.com,Chinese Premium NLL,0,G,S,Pure CHIP NLL
0gt.com,Chinese Premium NLL,0,G,T,Pure CHIP NLL
0gw.com,Chinese Premium NLL,0,G,W,Pure CHIP NLL
0gx.com,Chinese Premium NLL,0,G,X,Pure CHIP NLL
0gy.com,Chinese Premium NLL,0,G,Y,Pure CHIP NLL
0gz.com,Chinese Premium NLL,0,G,Z,Pure CHIP NLL
0hb.com,Chinese Premium NLL,0,H,B,Pure CHIP NLL
0hc.com,Chinese Premium NLL,0,H,C,Pure CHIP NLL
0hd.com,Chinese Premium NLL,0,H,D,Pure CHIP NLL
0hf.com,Chinese Premium NLL,0,H,F,Pure CHIP NLL
0hg.com,Chinese Premium NLL,0,H,G,Pure CHIP NLL
0hh.com,Chinese Premium NLL,0,H,H,Premium Double Letter + CHIP
0hj.com,Chinese Premium NLL,0,H,J,Pure CHIP NLL
0hk.com,Chinese Premium NLL,0,H,K,Pure CHIP NLL
