ï»¿Domain,Pattern,Number,Letter,Significance
0b.com,Chinese Premium NL,0,B,Pure CHIP NL
0c.com,Chinese Premium NL,0,C,Pure CHIP NL
0d.com,Chinese Premium NL,0,D,Pure CHIP NL
0f.com,Chinese Premium NL,0,F,Pure CHIP NL
0g.com,Chinese Premium NL,0,G,Pure CHIP NL
0h.com,Chinese Premium NL,0,H,Pure CHIP NL
0j.com,Chinese Premium NL,0,J,Pure CHIP NL
0k.com,Chinese Premium NL,0,K,Pure CHIP NL
0l.com,Chinese Premium NL,0,L,Pure CHIP NL
0m.com,Chinese Premium NL,0,M,Pure CHIP NL
0n.com,Chinese Premium NL,0,N,Pure CHIP NL
0p.com,Chinese Premium NL,0,P,Pure CHIP NL
0q.com,Chinese Premium NL,0,Q,Pure CHIP NL
0r.com,Chinese Premium NL,0,R,Pure CHIP NL
0s.com,Chinese Premium NL,0,S,Pure CHIP NL
0t.com,Chinese Premium NL,0,T,Pure CHIP NL
0w.com,Chinese Premium NL,0,W,Pure CHIP NL
0x.com,Chinese Premium NL,0,X,Pure CHIP NL
0y.com,Chinese Premium NL,0,Y,Pure CHIP NL
0z.com,Chinese Premium NL,0,Z,Pure CHIP NL
1b.com,Chinese Premium NL,1,B,Pure CHIP NL
1c.com,Chinese Premium NL,1,C,Pure CHIP NL
1d.com,Chinese Premium NL,1,D,Pure CHIP NL
1f.com,Chinese Premium NL,1,F,Pure CHIP NL
1g.com,Chinese Premium NL,1,G,Pure CHIP NL
1h.com,Chinese Premium NL,1,H,Pure CHIP NL
1j.com,Chinese Premium NL,1,J,Pure CHIP NL
1k.com,Chinese Premium NL,1,K,Pure CHIP NL
1l.com,Chinese Premium NL,1,L,Pure CHIP NL
1m.com,Chinese Premium NL,1,M,Pure CHIP NL
1n.com,Chinese Premium NL,1,N,Pure CHIP NL
1p.com,Chinese Premium NL,1,P,Pure CHIP NL
1q.com,Chinese Premium NL,1,Q,Pure CHIP NL
1r.com,Chinese Premium NL,1,R,Pure CHIP NL
1s.com,Chinese Premium NL,1,S,Pure CHIP NL
1t.com,Chinese Premium NL,1,T,Pure CHIP NL
1w.com,Chinese Premium NL,1,W,Pure CHIP NL
1x.com,Chinese Premium NL,1,X,Pure CHIP NL
1y.com,Chinese Premium NL,1,Y,Pure CHIP NL
1z.com,Chinese Premium NL,1,Z,Pure CHIP NL
2b.com,Chinese Premium NL,2,B,Pure CHIP NL
2c.com,Chinese Premium NL,2,C,Pure CHIP NL
