Ã¯Â»Â¿Domain,Pattern,Digit 1,Digit 2,Digit 3,Significance
000.com,AAA (Solid/Legendary),0,0,0,Pure CHIP (No 4)
001.com,AAB,0,0,1,Pure CHIP (No 4)
002.com,AAB,0,0,2,Pure CHIP (No 4)
003.com,AAB,0,0,3,Pure CHIP (No 4)
005.com,AAB,0,0,5,Pure CHIP (No 4)
006.com,AAB,0,0,6,High-Tier CHIP
007.com,AAB,0,0,7,Pure CHIP (No 4)
008.com,AAB,0,0,8,High-Tier CHIP
009.com,AAB,0,0,9,Pure CHIP (No 4)
010.com,ABA,0,1,0,Pure CHIP (No 4)
011.com,ABB,0,1,1,Pure CHIP (No 4)
012.com,ABC,0,1,2,Pure CHIP (No 4)
013.com,ABC,0,1,3,Pure CHIP (No 4)
015.com,ABC,0,1,5,Pure CHIP (No 4)
016.com,ABC,0,1,6,High-Tier CHIP
017.com,ABC,0,1,7,Pure CHIP (No 4)
018.com,ABC,0,1,8,High-Tier CHIP
019.com,ABC,0,1,9,Pure CHIP (No 4)
020.com,ABA,0,2,0,Pure CHIP (No 4)
021.com,ABC,0,2,1,Pure CHIP (No 4)
022.com,ABB,0,2,2,Pure CHIP (No 4)
023.com,ABC,0,2,3,Pure CHIP (No 4)
025.com,ABC,0,2,5,Pure CHIP (No 4)
026.com,ABC,0,2,6,High-Tier CHIP
027.com,ABC,0,2,7,Pure CHIP (No 4)
028.com,ABC,0,2,8,High-Tier CHIP
029.com,ABC,0,2,9,Pure CHIP (No 4)
030.com,ABA,0,3,0,Pure CHIP (No 4)
031.com,ABC,0,3,1,Pure CHIP (No 4)
032.com,ABC,0,3,2,Pure CHIP (No 4)
033.com,ABB,0,3,3,Pure CHIP (No 4)
035.com,ABC,0,3,5,Pure CHIP (No 4)
036.com,ABC,0,3,6,High-Tier CHIP
037.com,ABC,0,3,7,Pure CHIP (No 4)
038.com,ABC,0,3,8,High-Tier CHIP
039.com,ABC,0,3,9,Pure CHIP (No 4)
050.com,ABA,0,5,0,Pure CHIP (No 4)
051.com,ABC,0,5,1,Pure CHIP (No 4)
052.com,ABC,0,5,2,Pure CHIP (No 4)
053.com,ABC,0,5,3,Pure CHIP (No 4)
055.com,ABB,0,5,5,Pure CHIP (No 4)
056.com,ABC,0,5,6,High-Tier CHIP
057.com,ABC,0,5,7,Pure CHIP (No 4)
058.com,ABC,0,5,8,High-Tier CHIP
059.com,ABC,0,5,9,Pure CHIP (No 4)
060.com,ABA,0,6,0,High-Tier CHIP
061.com,ABC,0,6,1,High-Tier CHIP
062.com,ABC,0,6,2,High-Tier CHIP
063.com,ABC,0,6,3,High-Tier CHIP
065.com,ABC,0,6,5,High-Tier CHIP
066.com,ABB,0,6,6,High-Tier CHIP
067.com,ABC,0,6,7,High-Tier CHIP
068.com,ABC,0,6,8,High-Tier CHIP
069.com,ABC,0,6,9,High-Tier CHIP
070.com,ABA,0,7,0,Pure CHIP (No 4)
071.com,ABC,0,7,1,Pure CHIP (No 4)
072.com,ABC,0,7,2,Pure CHIP (No 4)
073.com,ABC,0,7,3,Pure CHIP (No 4)
075.com,ABC,0,7,5,Pure CHIP (No 4)
076.com,ABC,0,7,6,High-Tier CHIP
077.com,ABB,0,7,7,Pure CHIP (No 4)
078.com,ABC,0,7,8,High-Tier CHIP
079.com,ABC,0,7,9,Pure CHIP (No 4)
080.com,ABA,0,8,0,High-Tier CHIP
081.com,ABC,0,8,1,High-Tier CHIP
082.com,ABC,0,8,2,High-Tier CHIP
083.com,ABC,0,8,3,High-Tier CHIP
085.com,ABC,0,8,5,High-Tier CHIP
086.com,ABC,0,8,6,High-Tier CHIP
087.com,ABC,0,8,7,High-Tier CHIP
088.com,ABB,0,8,8,High-Tier CHIP
089.com,ABC,0,8,9,High-Tier CHIP
090.com,ABA,0,9,0,Pure CHIP (No 4)
091.com,ABC,0,9,1,Pure CHIP (No 4)
092.com,ABC,0,9,2,Pure CHIP (No 4)
093.com,ABC,0,9,3,Pure CHIP (No 4)
095.com,ABC,0,9,5,Pure CHIP (No 4)
096.com,ABC,0,9,6,High-Tier CHIP
097.com,ABC,0,9,7,Pure CHIP (No 4)
098.com,ABC,0,9,8,High-Tier CHIP
099.com,ABB,0,9,9,Pure CHIP (No 4)
100.com,ABB,1,0,0,Pure CHIP (No 4)
101.com,ABA,1,0,1,Pure CHIP (No 4)
