ï»¿Domain,Pattern,L1,L2,L3
aaa.com,LLL (Letter-Letter-Letter),A,A,A
aab.com,LLL (Letter-Letter-Letter),A,A,B
aac.com,LLL (Letter-Letter-Letter),A,A,C
aad.com,LLL (Letter-Letter-Letter),A,A,D
aae.com,LLL (Letter-Letter-Letter),A,A,E
aaf.com,LLL (Letter-Letter-Letter),A,A,F
aag.com,LLL (Letter-Letter-Letter),A,A,G
aah.com,LLL (Letter-Letter-Letter),A,A,H
aai.com,LLL (Letter-Letter-Letter),A,A,I
aaj.com,LLL (Letter-Letter-Letter),A,A,J
aak.com,LLL (Letter-Letter-Letter),A,A,K
aal.com,LLL (Letter-Letter-Letter),A,A,L
aam.com,LLL (Letter-Letter-Letter),A,A,M
aan.com,LLL (Letter-Letter-Letter),A,A,N
aao.com,LLL (Letter-Letter-Letter),A,A,O
aap.com,LLL (Letter-Letter-Letter),A,A,P
aaq.com,LLL (Letter-Letter-Letter),A,A,Q
aar.com,LLL (Letter-Letter-Letter),A,A,R
aas.com,LLL (Letter-Letter-Letter),A,A,S
aat.com,LLL (Letter-Letter-Letter),A,A,T
aau.com,LLL (Letter-Letter-Letter),A,A,U
aav.com,LLL (Letter-Letter-Letter),A,A,V
aaw.com,LLL (Letter-Letter-Letter),A,A,W
aax.com,LLL (Letter-Letter-Letter),A,A,X
aay.com,LLL (Letter-Letter-Letter),A,A,Y
aaz.com,LLL (Letter-Letter-Letter),A,A,Z
aba.com,LLL (Letter-Letter-Letter),A,B,A
abb.com,LLL (Letter-Letter-Letter),A,B,B
abc.com,LLL (Letter-Letter-Letter),A,B,C
abd.com,LLL (Letter-Letter-Letter),A,B,D
abe.com,LLL (Letter-Letter-Letter),A,B,E
abf.com,LLL (Letter-Letter-Letter),A,B,F
abg.com,LLL (Letter-Letter-Letter),A,B,G
abh.com,LLL (Letter-Letter-Letter),A,B,H
abi.com,LLL (Letter-Letter-Letter),A,B,I
abj.com,LLL (Letter-Letter-Letter),A,B,J
abk.com,LLL (Letter-Letter-Letter),A,B,K
abl.com,LLL (Letter-Letter-Letter),A,B,L
abm.com,LLL (Letter-Letter-Letter),A,B,M
abn.com,LLL (Letter-Letter-Letter),A,B,N
abo.com,LLL (Letter-Letter-Letter),A,B,O
abp.com,LLL (Letter-Letter-Letter),A,B,P
abq.com,LLL (Letter-Letter-Letter),A,B,Q
abr.com,LLL (Letter-Letter-Letter),A,B,R
abs.com,LLL (Letter-Letter-Letter),A,B,S
abt.com,LLL (Letter-Letter-Letter),A,B,T
abu.com,LLL (Letter-Letter-Letter),A,B,U
abv.com,LLL (Letter-Letter-Letter),A,B,V
abw.com,LLL (Letter-Letter-Letter),A,B,W
abx.com,LLL (Letter-Letter-Letter),A,B,X
aby.com,LLL (Letter-Letter-Letter),A,B,Y
abz.com,LLL (Letter-Letter-Letter),A,B,Z
aca.com,LLL (Letter-Letter-Letter),A,C,A
acb.com,LLL (Letter-Letter-Letter),A,C,B
acc.com,LLL (Letter-Letter-Letter),A,C,C
acd.com,LLL (Letter-Letter-Letter),A,C,D
ace.com,LLL (Letter-Letter-Letter),A,C,E
acf.com,LLL (Letter-Letter-Letter),A,C,F
acg.com,LLL (Letter-Letter-Letter),A,C,G
ach.com,LLL (Letter-Letter-Letter),A,C,H
aci.com,LLL (Letter-Letter-Letter),A,C,I
acj.com,LLL (Letter-Letter-Letter),A,C,J
ack.com,LLL (Letter-Letter-Letter),A,C,K
acl.com,LLL (Letter-Letter-Letter),A,C,L
acm.com,LLL (Letter-Letter-Letter),A,C,M
acn.com,LLL (Letter-Letter-Letter),A,C,N
aco.com,LLL (Letter-Letter-Letter),A,C,O
acp.com,LLL (Letter-Letter-Letter),A,C,P
acq.com,LLL (Letter-Letter-Letter),A,C,Q
acr.com,LLL (Letter-Letter-Letter),A,C,R
acs.com,LLL (Letter-Letter-Letter),A,C,S
act.com,LLL (Letter-Letter-Letter),A,C,T
acu.com,LLL (Letter-Letter-Letter),A,C,U
acv.com,LLL (Letter-Letter-Letter),A,C,V
acw.com,LLL (Letter-Letter-Letter),A,C,W
acx.com,LLL (Letter-Letter-Letter),A,C,X
acy.com,LLL (Letter-Letter-Letter),A,C,Y
acz.com,LLL (Letter-Letter-Letter),A,C,Z
ada.com,LLL (Letter-Letter-Letter),A,D,A
adb.com,LLL (Letter-Letter-Letter),A,D,B
adc.com,LLL (Letter-Letter-Letter),A,D,C
add.com,LLL (Letter-Letter-Letter),A,D,D
ade.com,LLL (Letter-Letter-Letter),A,D,E
adf.com,LLL (Letter-Letter-Letter),A,D,F
adg.com,LLL (Letter-Letter-Letter),A,D,G
adh.com,LLL (Letter-Letter-Letter),A,D,H
adi.com,LLL (Letter-Letter-Letter),A,D,I
adj.com,LLL (Letter-Letter-Letter),A,D,J
adk.com,LLL (Letter-Letter-Letter),A,D,K
adl.com,LLL (Letter-Letter-Letter),A,D,L
adm.com,LLL (Letter-Letter-Letter),A,D,M
adn.com,LLL (Letter-Letter-Letter),A,D,N
ado.com,LLL (Letter-Letter-Letter),A,D,O
adp.com,LLL (Letter-Letter-Letter),A,D,P
adq.com,LLL (Letter-Letter-Letter),A,D,Q
adr.com,LLL (Letter-Letter-Letter),A,D,R
ads.com,LLL (Letter-Letter-Letter),A,D,S
adt.com,LLL (Letter-Letter-Letter),A,D,T
adu.com,LLL (Letter-Letter-Letter),A,D,U
adv.com,LLL (Letter-Letter-Letter),A,D,V
adw.com,LLL (Letter-Letter-Letter),A,D,W
adx.com,LLL (Letter-Letter-Letter),A,D,X
ady.com,LLL (Letter-Letter-Letter),A,D,Y
adz.com,LLL (Letter-Letter-Letter),A,D,Z
aea.com,LLL (Letter-Letter-Letter),A,E,A
aeb.com,LLL (Letter-Letter-Letter),A,E,B
aec.com,LLL (Letter-Letter-Letter),A,E,C
aed.com,LLL (Letter-Letter-Letter),A,E,D
aee.com,LLL (Letter-Letter-Letter),A,E,E
aef.com,LLL (Letter-Letter-Letter),A,E,F
aeg.com,LLL (Letter-Letter-Letter),A,E,G
aeh.com,LLL (Letter-Letter-Letter),A,E,H
aei.com,LLL (Letter-Letter-Letter),A,E,I
aej.com,LLL (Letter-Letter-Letter),A,E,J
aek.com,LLL (Letter-Letter-Letter),A,E,K
ael.com,LLL (Letter-Letter-Letter),A,E,L
aem.com,LLL (Letter-Letter-Letter),A,E,M
aen.com,LLL (Letter-Letter-Letter),A,E,N
aeo.com,LLL (Letter-Letter-Letter),A,E,O
aep.com,LLL (Letter-Letter-Letter),A,E,P
aeq.com,LLL (Letter-Letter-Letter),A,E,Q
aer.com,LLL (Letter-Letter-Letter),A,E,R
aes.com,LLL (Letter-Letter-Letter),A,E,S
aet.com,LLL (Letter-Letter-Letter),A,E,T
aeu.com,LLL (Letter-Letter-Letter),A,E,U
aev.com,LLL (Letter-Letter-Letter),A,E,V
aew.com,LLL (Letter-Letter-Letter),A,E,W
aex.com,LLL (Letter-Letter-Letter),A,E,X
aey.com,LLL (Letter-Letter-Letter),A,E,Y
aez.com,LLL (Letter-Letter-Letter),A,E,Z
afa.com,LLL (Letter-Letter-Letter),A,F,A
afb.com,LLL (Letter-Letter-Letter),A,F,B
afc.com,LLL (Letter-Letter-Letter),A,F,C
afd.com,LLL (Letter-Letter-Letter),A,F,D
afe.com,LLL (Letter-Letter-Letter),A,F,E
aff.com,LLL (Letter-Letter-Letter),A,F,F
afg.com,LLL (Letter-Letter-Letter),A,F,G
afh.com,LLL (Letter-Letter-Letter),A,F,H
afi.com,LLL (Letter-Letter-Letter),A,F,I
afj.com,LLL (Letter-Letter-Letter),A,F,J
afk.com,LLL (Letter-Letter-Letter),A,F,K
afl.com,LLL (Letter-Letter-Letter),A,F,L
afm.com,LLL (Letter-Letter-Letter),A,F,M
afn.com,LLL (Letter-Letter-Letter),A,F,N
afo.com,LLL (Letter-Letter-Letter),A,F,O
afp.com,LLL (Letter-Letter-Letter),A,F,P
afq.com,LLL (Letter-Letter-Letter),A,F,Q
afr.com,LLL (Letter-Letter-Letter),A,F,R
afs.com,LLL (Letter-Letter-Letter),A,F,S
aft.com,LLL (Letter-Letter-Letter),A,F,T
afu.com,LLL (Letter-Letter-Letter),A,F,U
afv.com,LLL (Letter-Letter-Letter),A,F,V
afw.com,LLL (Letter-Letter-Letter),A,F,W
afx.com,LLL (Letter-Letter-Letter),A,F,X
afy.com,LLL (Letter-Letter-Letter),A,F,Y
afz.com,LLL (Letter-Letter-Letter),A,F,Z
aga.com,LLL (Letter-Letter-Letter),A,G,A
agb.com,LLL (Letter-Letter-Letter),A,G,B
agc.com,LLL (Letter-Letter-Letter),A,G,C
agd.com,LLL (Letter-Letter-Letter),A,G,D
age.com,LLL (Letter-Letter-Letter),A,G,E
agf.com,LLL (Letter-Letter-Letter),A,G,F
agg.com,LLL (Letter-Letter-Letter),A,G,G
agh.com,LLL (Letter-Letter-Letter),A,G,H
agi.com,LLL (Letter-Letter-Letter),A,G,I
agj.com,LLL (Letter-Letter-Letter),A,G,J
agk.com,LLL (Letter-Letter-Letter),A,G,K
agl.com,LLL (Letter-Letter-Letter),A,G,L
agm.com,LLL (Letter-Letter-Letter),A,G,M
agn.com,LLL (Letter-Letter-Letter),A,G,N
ago.com,LLL (Letter-Letter-Letter),A,G,O
agp.com,LLL (Letter-Letter-Letter),A,G,P
agq.com,LLL (Letter-Letter-Letter),A,G,Q
agr.com,LLL (Letter-Letter-Letter),A,G,R
ags.com,LLL (Letter-Letter-Letter),A,G,S
agt.com,LLL (Letter-Letter-Letter),A,G,T
agu.com,LLL (Letter-Letter-Letter),A,G,U
agv.com,LLL (Letter-Letter-Letter),A,G,V
agw.com,LLL (Letter-Letter-Letter),A,G,W
agx.com,LLL (Letter-Letter-Letter),A,G,X
agy.com,LLL (Letter-Letter-Letter),A,G,Y
agz.com,LLL (Letter-Letter-Letter),A,G,Z
aha.com,LLL (Letter-Letter-Letter),A,H,A
ahb.com,LLL (Letter-Letter-Letter),A,H,B
ahc.com,LLL (Letter-Letter-Letter),A,H,C
ahd.com,LLL (Letter-Letter-Letter),A,H,D
ahe.com,LLL (Letter-Letter-Letter),A,H,E
ahf.com,LLL (Letter-Letter-Letter),A,H,F
ahg.com,LLL (Letter-Letter-Letter),A,H,G
ahh.com,LLL (Letter-Letter-Letter),A,H,H
ahi.com,LLL (Letter-Letter-Letter),A,H,I
ahj.com,LLL (Letter-Letter-Letter),A,H,J
ahk.com,LLL (Letter-Letter-Letter),A,H,K
ahl.com,LLL (Letter-Letter-Letter),A,H,L
ahm.com,LLL (Letter-Letter-Letter),A,H,M
ahn.com,LLL (Letter-Letter-Letter),A,H,N
aho.com,LLL (Letter-Letter-Letter),A,H,O
ahp.com,LLL (Letter-Letter-Letter),A,H,P
ahq.com,LLL (Letter-Letter-Letter),A,H,Q
ahr.com,LLL (Letter-Letter-Letter),A,H,R
ahs.com,LLL (Letter-Letter-Letter),A,H,S
aht.com,LLL (Letter-Letter-Letter),A,H,T
ahu.com,LLL (Letter-Letter-Letter),A,H,U
ahv.com,LLL (Letter-Letter-Letter),A,H,V
ahw.com,LLL (Letter-Letter-Letter),A,H,W
ahx.com,LLL (Letter-Letter-Letter),A,H,X
ahy.com,LLL (Letter-Letter-Letter),A,H,Y
ahz.com,LLL (Letter-Letter-Letter),A,H,Z
aia.com,LLL (Letter-Letter-Letter),A,I,A
aib.com,LLL (Letter-Letter-Letter),A,I,B
aic.com,LLL (Letter-Letter-Letter),A,I,C
aid.com,LLL (Letter-Letter-Letter),A,I,D
aie.com,LLL (Letter-Letter-Letter),A,I,E
aif.com,LLL (Letter-Letter-Letter),A,I,F
aig.com,LLL (Letter-Letter-Letter),A,I,G
aih.com,LLL (Letter-Letter-Letter),A,I,H
aii.com,LLL (Letter-Letter-Letter),A,I,I
aij.com,LLL (Letter-Letter-Letter),A,I,J
aik.com,LLL (Letter-Letter-Letter),A,I,K
ail.com,LLL (Letter-Letter-Letter),A,I,L
aim.com,LLL (Letter-Letter-Letter),A,I,M
ain.com,LLL (Letter-Letter-Letter),A,I,N
aio.com,LLL (Letter-Letter-Letter),A,I,O
aip.com,LLL (Letter-Letter-Letter),A,I,P
aiq.com,LLL (Letter-Letter-Letter),A,I,Q
air.com,LLL (Letter-Letter-Letter),A,I,R
ais.com,LLL (Letter-Letter-Letter),A,I,S
ait.com,LLL (Letter-Letter-Letter),A,I,T
aiu.com,LLL (Letter-Letter-Letter),A,I,U
aiv.com,LLL (Letter-Letter-Letter),A,I,V
aiw.com,LLL (Letter-Letter-Letter),A,I,W
aix.com,LLL (Letter-Letter-Letter),A,I,X
aiy.com,LLL (Letter-Letter-Letter),A,I,Y
aiz.com,LLL (Letter-Letter-Letter),A,I,Z
aja.com,LLL (Letter-Letter-Letter),A,J,A
ajb.com,LLL (Letter-Letter-Letter),A,J,B
ajc.com,LLL (Letter-Letter-Letter),A,J,C
ajd.com,LLL (Letter-Letter-Letter),A,J,D
aje.com,LLL (Letter-Letter-Letter),A,J,E
ajf.com,LLL (Letter-Letter-Letter),A,J,F
ajg.com,LLL (Letter-Letter-Letter),A,J,G
ajh.com,LLL (Letter-Letter-Letter),A,J,H
aji.com,LLL (Letter-Letter-Letter),A,J,I
ajj.com,LLL (Letter-Letter-Letter),A,J,J
ajk.com,LLL (Letter-Letter-Letter),A,J,K
ajl.com,LLL (Letter-Letter-Letter),A,J,L
ajm.com,LLL (Letter-Letter-Letter),A,J,M
ajn.com,LLL (Letter-Letter-Letter),A,J,N
ajo.com,LLL (Letter-Letter-Letter),A,J,O
ajp.com,LLL (Letter-Letter-Letter),A,J,P
ajq.com,LLL (Letter-Letter-Letter),A,J,Q
ajr.com,LLL (Letter-Letter-Letter),A,J,R
ajs.com,LLL (Letter-Letter-Letter),A,J,S
ajt.com,LLL (Letter-Letter-Letter),A,J,T
aju.com,LLL (Letter-Letter-Letter),A,J,U
ajv.com,LLL (Letter-Letter-Letter),A,J,V
ajw.com,LLL (Letter-Letter-Letter),A,J,W
ajx.com,LLL (Letter-Letter-Letter),A,J,X
ajy.com,LLL (Letter-Letter-Letter),A,J,Y
ajz.com,LLL (Letter-Letter-Letter),A,J,Z
aka.com,LLL (Letter-Letter-Letter),A,K,A
akb.com,LLL (Letter-Letter-Letter),A,K,B
akc.com,LLL (Letter-Letter-Letter),A,K,C
akd.com,LLL (Letter-Letter-Letter),A,K,D
ake.com,LLL (Letter-Letter-Letter),A,K,E
akf.com,LLL (Letter-Letter-Letter),A,K,F
akg.com,LLL (Letter-Letter-Letter),A,K,G
akh.com,LLL (Letter-Letter-Letter),A,K,H
aki.com,LLL (Letter-Letter-Letter),A,K,I
akj.com,LLL (Letter-Letter-Letter),A,K,J
akk.com,LLL (Letter-Letter-Letter),A,K,K
akl.com,LLL (Letter-Letter-Letter),A,K,L
akm.com,LLL (Letter-Letter-Letter),A,K,M
akn.com,LLL (Letter-Letter-Letter),A,K,N
ako.com,LLL (Letter-Letter-Letter),A,K,O
akp.com,LLL (Letter-Letter-Letter),A,K,P
akq.com,LLL (Letter-Letter-Letter),A,K,Q
akr.com,LLL (Letter-Letter-Letter),A,K,R
aks.com,LLL (Letter-Letter-Letter),A,K,S
akt.com,LLL (Letter-Letter-Letter),A,K,T
aku.com,LLL (Letter-Letter-Letter),A,K,U
akv.com,LLL (Letter-Letter-Letter),A,K,V
akw.com,LLL (Letter-Letter-Letter),A,K,W
akx.com,LLL (Letter-Letter-Letter),A,K,X
aky.com,LLL (Letter-Letter-Letter),A,K,Y
akz.com,LLL (Letter-Letter-Letter),A,K,Z
ala.com,LLL (Letter-Letter-Letter),A,L,A
alb.com,LLL (Letter-Letter-Letter),A,L,B
alc.com,LLL (Letter-Letter-Letter),A,L,C
ald.com,LLL (Letter-Letter-Letter),A,L,D
ale.com,LLL (Letter-Letter-Letter),A,L,E
alf.com,LLL (Letter-Letter-Letter),A,L,F
alg.com,LLL (Letter-Letter-Letter),A,L,G
alh.com,LLL (Letter-Letter-Letter),A,L,H
ali.com,LLL (Letter-Letter-Letter),A,L,I
alj.com,LLL (Letter-Letter-Letter),A,L,J
alk.com,LLL (Letter-Letter-Letter),A,L,K
all.com,LLL (Letter-Letter-Letter),A,L,L
alm.com,LLL (Letter-Letter-Letter),A,L,M
aln.com,LLL (Letter-Letter-Letter),A,L,N
alo.com,LLL (Letter-Letter-Letter),A,L,O
alp.com,LLL (Letter-Letter-Letter),A,L,P
alq.com,LLL (Letter-Letter-Letter),A,L,Q
alr.com,LLL (Letter-Letter-Letter),A,L,R
als.com,LLL (Letter-Letter-Letter),A,L,S
alt.com,LLL (Letter-Letter-Letter),A,L,T
alu.com,LLL (Letter-Letter-Letter),A,L,U
alv.com,LLL (Letter-Letter-Letter),A,L,V
alw.com,LLL (Letter-Letter-Letter),A,L,W
alx.com,LLL (Letter-Letter-Letter),A,L,X
aly.com,LLL (Letter-Letter-Letter),A,L,Y
alz.com,LLL (Letter-Letter-Letter),A,L,Z
ama.com,LLL (Letter-Letter-Letter),A,M,A
amb.com,LLL (Letter-Letter-Letter),A,M,B
amc.com,LLL (Letter-Letter-Letter),A,M,C
amd.com,LLL (Letter-Letter-Letter),A,M,D
ame.com,LLL (Letter-Letter-Letter),A,M,E
amf.com,LLL (Letter-Letter-Letter),A,M,F
amg.com,LLL (Letter-Letter-Letter),A,M,G
amh.com,LLL (Letter-Letter-Letter),A,M,H
ami.com,LLL (Letter-Letter-Letter),A,M,I
amj.com,LLL (Letter-Letter-Letter),A,M,J
amk.com,LLL (Letter-Letter-Letter),A,M,K
aml.com,LLL (Letter-Letter-Letter),A,M,L
amm.com,LLL (Letter-Letter-Letter),A,M,M
amn.com,LLL (Letter-Letter-Letter),A,M,N
amo.com,LLL (Letter-Letter-Letter),A,M,O
amp.com,LLL (Letter-Letter-Letter),A,M,P
amq.com,LLL (Letter-Letter-Letter),A,M,Q
amr.com,LLL (Letter-Letter-Letter),A,M,R
ams.com,LLL (Letter-Letter-Letter),A,M,S
amt.com,LLL (Letter-Letter-Letter),A,M,T
amu.com,LLL (Letter-Letter-Letter),A,M,U
amv.com,LLL (Letter-Letter-Letter),A,M,V
amw.com,LLL (Letter-Letter-Letter),A,M,W
amx.com,LLL (Letter-Letter-Letter),A,M,X
amy.com,LLL (Letter-Letter-Letter),A,M,Y
amz.com,LLL (Letter-Letter-Letter),A,M,Z
ana.com,LLL (Letter-Letter-Letter),A,N,A
anb.com,LLL (Letter-Letter-Letter),A,N,B
anc.com,LLL (Letter-Letter-Letter),A,N,C
and.com,LLL (Letter-Letter-Letter),A,N,D
ane.com,LLL (Letter-Letter-Letter),A,N,E
anf.com,LLL (Letter-Letter-Letter),A,N,F
ang.com,LLL (Letter-Letter-Letter),A,N,G
anh.com,LLL (Letter-Letter-Letter),A,N,H
ani.com,LLL (Letter-Letter-Letter),A,N,I
anj.com,LLL (Letter-Letter-Letter),A,N,J
ank.com,LLL (Letter-Letter-Letter),A,N,K
anl.com,LLL (Letter-Letter-Letter),A,N,L
anm.com,LLL (Letter-Letter-Letter),A,N,M
ann.com,LLL (Letter-Letter-Letter),A,N,N
ano.com,LLL (Letter-Letter-Letter),A,N,O
anp.com,LLL (Letter-Letter-Letter),A,N,P
