ï»¿Domain,Pattern,Letter 1,Letter 2,Number
aa0.com,LLN (Letter-Letter-Number),A,A,0
aa1.com,LLN (Letter-Letter-Number),A,A,1
aa2.com,LLN (Letter-Letter-Number),A,A,2
aa3.com,LLN (Letter-Letter-Number),A,A,3
aa4.com,LLN (Letter-Letter-Number),A,A,4
aa5.com,LLN (Letter-Letter-Number),A,A,5
aa6.com,LLN (Letter-Letter-Number),A,A,6
aa7.com,LLN (Letter-Letter-Number),A,A,7
aa8.com,LLN (Letter-Letter-Number),A,A,8
aa9.com,LLN (Letter-Letter-Number),A,A,9
ab0.com,LLN (Letter-Letter-Number),A,B,0
ab1.com,LLN (Letter-Letter-Number),A,B,1
ab2.com,LLN (Letter-Letter-Number),A,B,2
ab3.com,LLN (Letter-Letter-Number),A,B,3
ab4.com,LLN (Letter-Letter-Number),A,B,4
ab5.com,LLN (Letter-Letter-Number),A,B,5
ab6.com,LLN (Letter-Letter-Number),A,B,6
ab7.com,LLN (Letter-Letter-Number),A,B,7
ab8.com,LLN (Letter-Letter-Number),A,B,8
ab9.com,LLN (Letter-Letter-Number),A,B,9
ac0.com,LLN (Letter-Letter-Number),A,C,0
ac1.com,LLN (Letter-Letter-Number),A,C,1
ac2.com,LLN (Letter-Letter-Number),A,C,2
ac3.com,LLN (Letter-Letter-Number),A,C,3
ac4.com,LLN (Letter-Letter-Number),A,C,4
ac5.com,LLN (Letter-Letter-Number),A,C,5
ac6.com,LLN (Letter-Letter-Number),A,C,6
ac7.com,LLN (Letter-Letter-Number),A,C,7
ac8.com,LLN (Letter-Letter-Number),A,C,8
ac9.com,LLN (Letter-Letter-Number),A,C,9
ad0.com,LLN (Letter-Letter-Number),A,D,0
ad1.com,LLN (Letter-Letter-Number),A,D,1
ad2.com,LLN (Letter-Letter-Number),A,D,2
ad3.com,LLN (Letter-Letter-Number),A,D,3
ad4.com,LLN (Letter-Letter-Number),A,D,4
ad5.com,LLN (Letter-Letter-Number),A,D,5
ad6.com,LLN (Letter-Letter-Number),A,D,6
ad7.com,LLN (Letter-Letter-Number),A,D,7
ad8.com,LLN (Letter-Letter-Number),A,D,8
ad9.com,LLN (Letter-Letter-Number),A,D,9
ae0.com,LLN (Letter-Letter-Number),A,E,0
ae1.com,LLN (Letter-Letter-Number),A,E,1
ae2.com,LLN (Letter-Letter-Number),A,E,2
ae3.com,LLN (Letter-Letter-Number),A,E,3
ae4.com,LLN (Letter-Letter-Number),A,E,4
ae5.com,LLN (Letter-Letter-Number),A,E,5
ae6.com,LLN (Letter-Letter-Number),A,E,6
ae7.com,LLN (Letter-Letter-Number),A,E,7
ae8.com,LLN (Letter-Letter-Number),A,E,8
ae9.com,LLN (Letter-Letter-Number),A,E,9
af0.com,LLN (Letter-Letter-Number),A,F,0
af1.com,LLN (Letter-Letter-Number),A,F,1
af2.com,LLN (Letter-Letter-Number),A,F,2
af3.com,LLN (Letter-Letter-Number),A,F,3
af4.com,LLN (Letter-Letter-Number),A,F,4
af5.com,LLN (Letter-Letter-Number),A,F,5
af6.com,LLN (Letter-Letter-Number),A,F,6
af7.com,LLN (Letter-Letter-Number),A,F,7
af8.com,LLN (Letter-Letter-Number),A,F,8
af9.com,LLN (Letter-Letter-Number),A,F,9
ag0.com,LLN (Letter-Letter-Number),A,G,0
ag1.com,LLN (Letter-Letter-Number),A,G,1
ag2.com,LLN (Letter-Letter-Number),A,G,2
ag3.com,LLN (Letter-Letter-Number),A,G,3
ag4.com,LLN (Letter-Letter-Number),A,G,4
ag5.com,LLN (Letter-Letter-Number),A,G,5
ag6.com,LLN (Letter-Letter-Number),A,G,6
ag7.com,LLN (Letter-Letter-Number),A,G,7
ag8.com,LLN (Letter-Letter-Number),A,G,8
ag9.com,LLN (Letter-Letter-Number),A,G,9
ah0.com,LLN (Letter-Letter-Number),A,H,0
ah1.com,LLN (Letter-Letter-Number),A,H,1
ah2.com,LLN (Letter-Letter-Number),A,H,2
ah3.com,LLN (Letter-Letter-Number),A,H,3
ah4.com,LLN (Letter-Letter-Number),A,H,4
ah5.com,LLN (Letter-Letter-Number),A,H,5
ah6.com,LLN (Letter-Letter-Number),A,H,6
ah7.com,LLN (Letter-Letter-Number),A,H,7
ah8.com,LLN (Letter-Letter-Number),A,H,8
ah9.com,LLN (Letter-Letter-Number),A,H,9
ai0.com,LLN (Letter-Letter-Number),A,I,0
ai1.com,LLN (Letter-Letter-Number),A,I,1
ai2.com,LLN (Letter-Letter-Number),A,I,2
ai3.com,LLN (Letter-Letter-Number),A,I,3
ai4.com,LLN (Letter-Letter-Number),A,I,4
ai5.com,LLN (Letter-Letter-Number),A,I,5
ai6.com,LLN (Letter-Letter-Number),A,I,6
ai7.com,LLN (Letter-Letter-Number),A,I,7
ai8.com,LLN (Letter-Letter-Number),A,I,8
ai9.com,LLN (Letter-Letter-Number),A,I,9
aj0.com,LLN (Letter-Letter-Number),A,J,0
aj1.com,LLN (Letter-Letter-Number),A,J,1
aj2.com,LLN (Letter-Letter-Number),A,J,2
aj3.com,LLN (Letter-Letter-Number),A,J,3
aj4.com,LLN (Letter-Letter-Number),A,J,4
aj5.com,LLN (Letter-Letter-Number),A,J,5
aj6.com,LLN (Letter-Letter-Number),A,J,6
aj7.com,LLN (Letter-Letter-Number),A,J,7
aj8.com,LLN (Letter-Letter-Number),A,J,8
aj9.com,LLN (Letter-Letter-Number),A,J,9
ak0.com,LLN (Letter-Letter-Number),A,K,0
ak1.com,LLN (Letter-Letter-Number),A,K,1
ak2.com,LLN (Letter-Letter-Number),A,K,2
ak3.com,LLN (Letter-Letter-Number),A,K,3
ak4.com,LLN (Letter-Letter-Number),A,K,4
ak5.com,LLN (Letter-Letter-Number),A,K,5
ak6.com,LLN (Letter-Letter-Number),A,K,6
ak7.com,LLN (Letter-Letter-Number),A,K,7
ak8.com,LLN (Letter-Letter-Number),A,K,8
ak9.com,LLN (Letter-Letter-Number),A,K,9
al0.com,LLN (Letter-Letter-Number),A,L,0
al1.com,LLN (Letter-Letter-Number),A,L,1
al2.com,LLN (Letter-Letter-Number),A,L,2
al3.com,LLN (Letter-Letter-Number),A,L,3
al4.com,LLN (Letter-Letter-Number),A,L,4
al5.com,LLN (Letter-Letter-Number),A,L,5
al6.com,LLN (Letter-Letter-Number),A,L,6
al7.com,LLN (Letter-Letter-Number),A,L,7
al8.com,LLN (Letter-Letter-Number),A,L,8
al9.com,LLN (Letter-Letter-Number),A,L,9
am0.com,LLN (Letter-Letter-Number),A,M,0
am1.com,LLN (Letter-Letter-Number),A,M,1
am2.com,LLN (Letter-Letter-Number),A,M,2
am3.com,LLN (Letter-Letter-Number),A,M,3
am4.com,LLN (Letter-Letter-Number),A,M,4
