ï»¿Domain,Pattern,Prefix (Digit),Middle (Letter),Suffix (Letter)
0aa.com,NLL (Number-Letter-Letter),0,A,A
0ab.com,NLL (Number-Letter-Letter),0,A,B
0ac.com,NLL (Number-Letter-Letter),0,A,C
0ad.com,NLL (Number-Letter-Letter),0,A,D
0ae.com,NLL (Number-Letter-Letter),0,A,E
0af.com,NLL (Number-Letter-Letter),0,A,F
0ag.com,NLL (Number-Letter-Letter),0,A,G
0ah.com,NLL (Number-Letter-Letter),0,A,H
0ai.com,NLL (Number-Letter-Letter),0,A,I
0aj.com,NLL (Number-Letter-Letter),0,A,J
0ak.com,NLL (Number-Letter-Letter),0,A,K
0al.com,NLL (Number-Letter-Letter),0,A,L
0am.com,NLL (Number-Letter-Letter),0,A,M
0an.com,NLL (Number-Letter-Letter),0,A,N
0ao.com,NLL (Number-Letter-Letter),0,A,O
0ap.com,NLL (Number-Letter-Letter),0,A,P
0aq.com,NLL (Number-Letter-Letter),0,A,Q
0ar.com,NLL (Number-Letter-Letter),0,A,R
0as.com,NLL (Number-Letter-Letter),0,A,S
0at.com,NLL (Number-Letter-Letter),0,A,T
0au.com,NLL (Number-Letter-Letter),0,A,U
0av.com,NLL (Number-Letter-Letter),0,A,V
0aw.com,NLL (Number-Letter-Letter),0,A,W
0ax.com,NLL (Number-Letter-Letter),0,A,X
0ay.com,NLL (Number-Letter-Letter),0,A,Y
0az.com,NLL (Number-Letter-Letter),0,A,Z
0ba.com,NLL (Number-Letter-Letter),0,B,A
0bb.com,NLL (Number-Letter-Letter),0,B,B
0bc.com,NLL (Number-Letter-Letter),0,B,C
0bd.com,NLL (Number-Letter-Letter),0,B,D
0be.com,NLL (Number-Letter-Letter),0,B,E
0bf.com,NLL (Number-Letter-Letter),0,B,F
0bg.com,NLL (Number-Letter-Letter),0,B,G
0bh.com,NLL (Number-Letter-Letter),0,B,H
0bi.com,NLL (Number-Letter-Letter),0,B,I
0bj.com,NLL (Number-Letter-Letter),0,B,J
0bk.com,NLL (Number-Letter-Letter),0,B,K
0bl.com,NLL (Number-Letter-Letter),0,B,L
0bm.com,NLL (Number-Letter-Letter),0,B,M
0bn.com,NLL (Number-Letter-Letter),0,B,N
0bo.com,NLL (Number-Letter-Letter),0,B,O
0bp.com,NLL (Number-Letter-Letter),0,B,P
0bq.com,NLL (Number-Letter-Letter),0,B,Q
