ï»¿Domain,Pattern,Prefix (Digit),Middle (Letter),Suffix (Digit)
0a0.com,NLN (Number-Letter-Number),0,A,0
0a1.com,NLN (Number-Letter-Number),0,A,1
0a2.com,NLN (Number-Letter-Number),0,A,2
0a3.com,NLN (Number-Letter-Number),0,A,3
0a4.com,NLN (Number-Letter-Number),0,A,4
0a5.com,NLN (Number-Letter-Number),0,A,5
0a6.com,NLN (Number-Letter-Number),0,A,6
0a7.com,NLN (Number-Letter-Number),0,A,7
0a8.com,NLN (Number-Letter-Number),0,A,8
0a9.com,NLN (Number-Letter-Number),0,A,9
0b0.com,NLN (Number-Letter-Number),0,B,0
0b1.com,NLN (Number-Letter-Number),0,B,1
0b2.com,NLN (Number-Letter-Number),0,B,2
0b3.com,NLN (Number-Letter-Number),0,B,3
0b4.com,NLN (Number-Letter-Number),0,B,4
0b5.com,NLN (Number-Letter-Number),0,B,5
0b6.com,NLN (Number-Letter-Number),0,B,6
0b7.com,NLN (Number-Letter-Number),0,B,7
0b8.com,NLN (Number-Letter-Number),0,B,8
0b9.com,NLN (Number-Letter-Number),0,B,9
0c0.com,NLN (Number-Letter-Number),0,C,0
0c1.com,NLN (Number-Letter-Number),0,C,1
0c2.com,NLN (Number-Letter-Number),0,C,2
0c3.com,NLN (Number-Letter-Number),0,C,3
0c4.com,NLN (Number-Letter-Number),0,C,4
0c5.com,NLN (Number-Letter-Number),0,C,5
0c6.com,NLN (Number-Letter-Number),0,C,6
0c7.com,NLN (Number-Letter-Number),0,C,7
0c8.com,NLN (Number-Letter-Number),0,C,8
0c9.com,NLN (Number-Letter-Number),0,C,9
0d0.com,NLN (Number-Letter-Number),0,D,0
0d1.com,NLN (Number-Letter-Number),0,D,1
0d2.com,NLN (Number-Letter-Number),0,D,2
0d3.com,NLN (Number-Letter-Number),0,D,3
0d4.com,NLN (Number-Letter-Number),0,D,4
0d5.com,NLN (Number-Letter-Number),0,D,5
0d6.com,NLN (Number-Letter-Number),0,D,6
0d7.com,NLN (Number-Letter-Number),0,D,7
0d8.com,NLN (Number-Letter-Number),0,D,8
0d9.com,NLN (Number-Letter-Number),0,D,9
0e0.com,NLN (Number-Letter-Number),0,E,0
0e1.com,NLN (Number-Letter-Number),0,E,1
0e2.com,NLN (Number-Letter-Number),0,E,2
0e3.com,NLN (Number-Letter-Number),0,E,3
0e4.com,NLN (Number-Letter-Number),0,E,4
0e5.com,NLN (Number-Letter-Number),0,E,5
0e6.com,NLN (Number-Letter-Number),0,E,6
0e7.com,NLN (Number-Letter-Number),0,E,7
0e8.com,NLN (Number-Letter-Number),0,E,8
0e9.com,NLN (Number-Letter-Number),0,E,9
0f0.com,NLN (Number-Letter-Number),0,F,0
0f1.com,NLN (Number-Letter-Number),0,F,1
0f2.com,NLN (Number-Letter-Number),0,F,2
0f3.com,NLN (Number-Letter-Number),0,F,3
0f4.com,NLN (Number-Letter-Number),0,F,4
0f5.com,NLN (Number-Letter-Number),0,F,5
0f6.com,NLN (Number-Letter-Number),0,F,6
