ï»¿Domain,Pattern,Digit 1,Digit 2,Letter
00a.com,NNL (Number-Number-Letter),0,0,A
00b.com,NNL (Number-Number-Letter),0,0,B
00c.com,NNL (Number-Number-Letter),0,0,C
00d.com,NNL (Number-Number-Letter),0,0,D
00e.com,NNL (Number-Number-Letter),0,0,E
00f.com,NNL (Number-Number-Letter),0,0,F
00g.com,NNL (Number-Number-Letter),0,0,G
00h.com,NNL (Number-Number-Letter),0,0,H
00i.com,NNL (Number-Number-Letter),0,0,I
00j.com,NNL (Number-Number-Letter),0,0,J
00k.com,NNL (Number-Number-Letter),0,0,K
00l.com,NNL (Number-Number-Letter),0,0,L
00m.com,NNL (Number-Number-Letter),0,0,M
00n.com,NNL (Number-Number-Letter),0,0,N
00o.com,NNL (Number-Number-Letter),0,0,O
00p.com,NNL (Number-Number-Letter),0,0,P
00q.com,NNL (Number-Number-Letter),0,0,Q
00r.com,NNL (Number-Number-Letter),0,0,R
00s.com,NNL (Number-Number-Letter),0,0,S
00t.com,NNL (Number-Number-Letter),0,0,T
00u.com,NNL (Number-Number-Letter),0,0,U
00v.com,NNL (Number-Number-Letter),0,0,V
00w.com,NNL (Number-Number-Letter),0,0,W
00x.com,NNL (Number-Number-Letter),0,0,X
00y.com,NNL (Number-Number-Letter),0,0,Y
00z.com,NNL (Number-Number-Letter),0,0,Z
01a.com,NNL (Number-Number-Letter),0,1,A
01b.com,NNL (Number-Number-Letter),0,1,B
01c.com,NNL (Number-Number-Letter),0,1,C
01d.com,NNL (Number-Number-Letter),0,1,D
01e.com,NNL (Number-Number-Letter),0,1,E
01f.com,NNL (Number-Number-Letter),0,1,F
01g.com,NNL (Number-Number-Letter),0,1,G
01h.com,NNL (Number-Number-Letter),0,1,H
01i.com,NNL (Number-Number-Letter),0,1,I
01j.com,NNL (Number-Number-Letter),0,1,J
01k.com,NNL (Number-Number-Letter),0,1,K
01l.com,NNL (Number-Number-Letter),0,1,L
01m.com,NNL (Number-Number-Letter),0,1,M
01n.com,NNL (Number-Number-Letter),0,1,N
01o.com,NNL (Number-Number-Letter),0,1,O
01p.com,NNL (Number-Number-Letter),0,1,P
01q.com,NNL (Number-Number-Letter),0,1,Q
01r.com,NNL (Number-Number-Letter),0,1,R
01s.com,NNL (Number-Number-Letter),0,1,S
01t.com,NNL (Number-Number-Letter),0,1,T
01u.com,NNL (Number-Number-Letter),0,1,U
01v.com,NNL (Number-Number-Letter),0,1,V
01w.com,NNL (Number-Number-Letter),0,1,W
01x.com,NNL (Number-Number-Letter),0,1,X
01y.com,NNL (Number-Number-Letter),0,1,Y
01z.com,NNL (Number-Number-Letter),0,1,Z
02a.com,NNL (Number-Number-Letter),0,2,A
02b.com,NNL (Number-Number-Letter),0,2,B
02c.com,NNL (Number-Number-Letter),0,2,C
02d.com,NNL (Number-Number-Letter),0,2,D
02e.com,NNL (Number-Number-Letter),0,2,E
02f.com,NNL (Number-Number-Letter),0,2,F
02g.com,NNL (Number-Number-Letter),0,2,G
02h.com,NNL (Number-Number-Letter),0,2,H
02i.com,NNL (Number-Number-Letter),0,2,I
02j.com,NNL (Number-Number-Letter),0,2,J
02k.com,NNL (Number-Number-Letter),0,2,K
02l.com,NNL (Number-Number-Letter),0,2,L
02m.com,NNL (Number-Number-Letter),0,2,M
02n.com,NNL (Number-Number-Letter),0,2,N
02o.com,NNL (Number-Number-Letter),0,2,O
02p.com,NNL (Number-Number-Letter),0,2,P
02q.com,NNL (Number-Number-Letter),0,2,Q
02r.com,NNL (Number-Number-Letter),0,2,R
02s.com,NNL (Number-Number-Letter),0,2,S
02t.com,NNL (Number-Number-Letter),0,2,T
02u.com,NNL (Number-Number-Letter),0,2,U
02v.com,NNL (Number-Number-Letter),0,2,V
02w.com,NNL (Number-Number-Letter),0,2,W
02x.com,NNL (Number-Number-Letter),0,2,X
02y.com,NNL (Number-Number-Letter),0,2,Y
02z.com,NNL (Number-Number-Letter),0,2,Z
03a.com,NNL (Number-Number-Letter),0,3,A
03b.com,NNL (Number-Number-Letter),0,3,B
03c.com,NNL (Number-Number-Letter),0,3,C
03d.com,NNL (Number-Number-Letter),0,3,D
03e.com,NNL (Number-Number-Letter),0,3,E
03f.com,NNL (Number-Number-Letter),0,3,F
03g.com,NNL (Number-Number-Letter),0,3,G
03h.com,NNL (Number-Number-Letter),0,3,H
03i.com,NNL (Number-Number-Letter),0,3,I
03j.com,NNL (Number-Number-Letter),0,3,J
03k.com,NNL (Number-Number-Letter),0,3,K
03l.com,NNL (Number-Number-Letter),0,3,L
03m.com,NNL (Number-Number-Letter),0,3,M
03n.com,NNL (Number-Number-Letter),0,3,N
03o.com,NNL (Number-Number-Letter),0,3,O
03p.com,NNL (Number-Number-Letter),0,3,P
03q.com,NNL (Number-Number-Letter),0,3,Q
03r.com,NNL (Number-Number-Letter),0,3,R
03s.com,NNL (Number-Number-Letter),0,3,S
03t.com,NNL (Number-Number-Letter),0,3,T
03u.com,NNL (Number-Number-Letter),0,3,U
03v.com,NNL (Number-Number-Letter),0,3,V
03w.com,NNL (Number-Number-Letter),0,3,W
03x.com,NNL (Number-Number-Letter),0,3,X
03y.com,NNL (Number-Number-Letter),0,3,Y
03z.com,NNL (Number-Number-Letter),0,3,Z
04a.com,NNL (Number-Number-Letter),0,4,A
04b.com,NNL (Number-Number-Letter),0,4,B
04c.com,NNL (Number-Number-Letter),0,4,C
04d.com,NNL (Number-Number-Letter),0,4,D
04e.com,NNL (Number-Number-Letter),0,4,E
04f.com,NNL (Number-Number-Letter),0,4,F
04g.com,NNL (Number-Number-Letter),0,4,G
04h.com,NNL (Number-Number-Letter),0,4,H
04i.com,NNL (Number-Number-Letter),0,4,I
04j.com,NNL (Number-Number-Letter),0,4,J
04k.com,NNL (Number-Number-Letter),0,4,K
04l.com,NNL (Number-Number-Letter),0,4,L
04m.com,NNL (Number-Number-Letter),0,4,M
04n.com,NNL (Number-Number-Letter),0,4,N
04o.com,NNL (Number-Number-Letter),0,4,O
04p.com,NNL (Number-Number-Letter),0,4,P
04q.com,NNL (Number-Number-Letter),0,4,Q
04r.com,NNL (Number-Number-Letter),0,4,R
04s.com,NNL (Number-Number-Letter),0,4,S
04t.com,NNL (Number-Number-Letter),0,4,T
04u.com,NNL (Number-Number-Letter),0,4,U
04v.com,NNL (Number-Number-Letter),0,4,V
04w.com,NNL (Number-Number-Letter),0,4,W
04x.com,NNL (Number-Number-Letter),0,4,X
04y.com,NNL (Number-Number-Letter),0,4,Y
04z.com,NNL (Number-Number-Letter),0,4,Z
05a.com,NNL (Number-Number-Letter),0,5,A
05b.com,NNL (Number-Number-Letter),0,5,B
05c.com,NNL (Number-Number-Letter),0,5,C
05d.com,NNL (Number-Number-Letter),0,5,D
05e.com,NNL (Number-Number-Letter),0,5,E
05f.com,NNL (Number-Number-Letter),0,5,F
05g.com,NNL (Number-Number-Letter),0,5,G
05h.com,NNL (Number-Number-Letter),0,5,H
05i.com,NNL (Number-Number-Letter),0,5,I
05j.com,NNL (Number-Number-Letter),0,5,J
05k.com,NNL (Number-Number-Letter),0,5,K
05l.com,NNL (Number-Number-Letter),0,5,L
05m.com,NNL (Number-Number-Letter),0,5,M
05n.com,NNL (Number-Number-Letter),0,5,N
05o.com,NNL (Number-Number-Letter),0,5,O
05p.com,NNL (Number-Number-Letter),0,5,P
05q.com,NNL (Number-Number-Letter),0,5,Q
05r.com,NNL (Number-Number-Letter),0,5,R
05s.com,NNL (Number-Number-Letter),0,5,S
05t.com,NNL (Number-Number-Letter),0,5,T
05u.com,NNL (Number-Number-Letter),0,5,U
05v.com,NNL (Number-Number-Letter),0,5,V
05w.com,NNL (Number-Number-Letter),0,5,W
05x.com,NNL (Number-Number-Letter),0,5,X
05y.com,NNL (Number-Number-Letter),0,5,Y
05z.com,NNL (Number-Number-Letter),0,5,Z
06a.com,NNL (Number-Number-Letter),0,6,A
06b.com,NNL (Number-Number-Letter),0,6,B
06c.com,NNL (Number-Number-Letter),0,6,C
06d.com,NNL (Number-Number-Letter),0,6,D
06e.com,NNL (Number-Number-Letter),0,6,E
06f.com,NNL (Number-Number-Letter),0,6,F
06g.com,NNL (Number-Number-Letter),0,6,G
06h.com,NNL (Number-Number-Letter),0,6,H
06i.com,NNL (Number-Number-Letter),0,6,I
06j.com,NNL (Number-Number-Letter),0,6,J
06k.com,NNL (Number-Number-Letter),0,6,K
06l.com,NNL (Number-Number-Letter),0,6,L
06m.com,NNL (Number-Number-Letter),0,6,M
06n.com,NNL (Number-Number-Letter),0,6,N
06o.com,NNL (Number-Number-Letter),0,6,O
06p.com,NNL (Number-Number-Letter),0,6,P
06q.com,NNL (Number-Number-Letter),0,6,Q
06r.com,NNL (Number-Number-Letter),0,6,R
06s.com,NNL (Number-Number-Letter),0,6,S
06t.com,NNL (Number-Number-Letter),0,6,T
06u.com,NNL (Number-Number-Letter),0,6,U
