ï»¿Domain,Pattern,Digit 1,Digit 2,Digit 3
000.com,NNN (Numeric),0,0,0
001.com,NNN (Numeric),0,0,1
002.com,NNN (Numeric),0,0,2
003.com,NNN (Numeric),0,0,3
004.com,NNN (Numeric),0,0,4
005.com,NNN (Numeric),0,0,5
006.com,NNN (Numeric),0,0,6
007.com,NNN (Numeric),0,0,7
008.com,NNN (Numeric),0,0,8
009.com,NNN (Numeric),0,0,9
010.com,NNN (Numeric),0,1,0
011.com,NNN (Numeric),0,1,1
012.com,NNN (Numeric),0,1,2
013.com,NNN (Numeric),0,1,3
014.com,NNN (Numeric),0,1,4
015.com,NNN (Numeric),0,1,5
016.com,NNN (Numeric),0,1,6
017.com,NNN (Numeric),0,1,7
018.com,NNN (Numeric),0,1,8
019.com,NNN (Numeric),0,1,9
020.com,NNN (Numeric),0,2,0
021.com,NNN (Numeric),0,2,1
022.com,NNN (Numeric),0,2,2
023.com,NNN (Numeric),0,2,3
024.com,NNN (Numeric),0,2,4
025.com,NNN (Numeric),0,2,5
026.com,NNN (Numeric),0,2,6
027.com,NNN (Numeric),0,2,7
028.com,NNN (Numeric),0,2,8
029.com,NNN (Numeric),0,2,9
030.com,NNN (Numeric),0,3,0
031.com,NNN (Numeric),0,3,1
032.com,NNN (Numeric),0,3,2
033.com,NNN (Numeric),0,3,3
034.com,NNN (Numeric),0,3,4
035.com,NNN (Numeric),0,3,5
036.com,NNN (Numeric),0,3,6
037.com,NNN (Numeric),0,3,7
038.com,NNN (Numeric),0,3,8
039.com,NNN (Numeric),0,3,9
040.com,NNN (Numeric),0,4,0
041.com,NNN (Numeric),0,4,1
042.com,NNN (Numeric),0,4,2
043.com,NNN (Numeric),0,4,3
044.com,NNN (Numeric),0,4,4
045.com,NNN (Numeric),0,4,5
046.com,NNN (Numeric),0,4,6
047.com,NNN (Numeric),0,4,7
048.com,NNN (Numeric),0,4,8
049.com,NNN (Numeric),0,4,9
050.com,NNN (Numeric),0,5,0
051.com,NNN (Numeric),0,5,1
052.com,NNN (Numeric),0,5,2
053.com,NNN (Numeric),0,5,3
054.com,NNN (Numeric),0,5,4
055.com,NNN (Numeric),0,5,5
056.com,NNN (Numeric),0,5,6
057.com,NNN (Numeric),0,5,7
058.com,NNN (Numeric),0,5,8
059.com,NNN (Numeric),0,5,9
060.com,NNN (Numeric),0,6,0
061.com,NNN (Numeric),0,6,1
062.com,NNN (Numeric),0,6,2
063.com,NNN (Numeric),0,6,3
064.com,NNN (Numeric),0,6,4
065.com,NNN (Numeric),0,6,5
066.com,NNN (Numeric),0,6,6
067.com,NNN (Numeric),0,6,7
068.com,NNN (Numeric),0,6,8
069.com,NNN (Numeric),0,6,9
070.com,NNN (Numeric),0,7,0
071.com,NNN (Numeric),0,7,1
072.com,NNN (Numeric),0,7,2
073.com,NNN (Numeric),0,7,3
074.com,NNN (Numeric),0,7,4
075.com,NNN (Numeric),0,7,5
076.com,NNN (Numeric),0,7,6
077.com,NNN (Numeric),0,7,7
078.com,NNN (Numeric),0,7,8
079.com,NNN (Numeric),0,7,9
080.com,NNN (Numeric),0,8,0
081.com,NNN (Numeric),0,8,1
