Domain,Pattern,Prefix (Letter)
00000.com,NNNNN,0
00001.com,NNNNN,0
00002.com,NNNNN,0
00003.com,NNNNN,0
00004.com,NNNNN,0
00005.com,NNNNN,0
00006.com,NNNNN,0
00007.com,NNNNN,0
00008.com,NNNNN,0
00009.com,NNNNN,0
00010.com,NNNNN,0
00011.com,NNNNN,0
00012.com,NNNNN,0
00013.com,NNNNN,0
00014.com,NNNNN,0
00015.com,NNNNN,0
00016.com,NNNNN,0
00017.com,NNNNN,0
00018.com,NNNNN,0
00019.com,NNNNN,0
00020.com,NNNNN,0
00021.com,NNNNN,0
00022.com,NNNNN,0
00023.com,NNNNN,0
00024.com,NNNNN,0
00025.com,NNNNN,0
00026.com,NNNNN,0
00027.com,NNNNN,0
00028.com,NNNNN,0
00029.com,NNNNN,0
00030.com,NNNNN,0
00031.com,NNNNN,0
00032.com,NNNNN,0
00033.com,NNNNN,0
00034.com,NNNNN,0
00035.com,NNNNN,0
00036.com,NNNNN,0
00037.com,NNNNN,0
00038.com,NNNNN,0
00039.com,NNNNN,0
00040.com,NNNNN,0
00041.com,NNNNN,0
00042.com,NNNNN,0
00043.com,NNNNN,0
00044.com,NNNNN,0
00045.com,NNNNN,0
00046.com,NNNNN,0
00047.com,NNNNN,0
00048.com,NNNNN,0
00049.com,NNNNN,0
00050.com,NNNNN,0
00051.com,NNNNN,0
00052.com,NNNNN,0
00053.com,NNNNN,0
00054.com,NNNNN,0
00055.com,NNNNN,0
00056.com,NNNNN,0
00057.com,NNNNN,0
00058.com,NNNNN,0
00059.com,NNNNN,0
00060.com,NNNNN,0
00061.com,NNNNN,0
00062.com,NNNNN,0
00063.com,NNNNN,0
00064.com,NNNNN,0
00065.com,NNNNN,0
00066.com,NNNNN,0
00067.com,NNNNN,0
00068.com,NNNNN,0
00069.com,NNNNN,0
00070.com,NNNNN,0
00071.com,NNNNN,0
00072.com,NNNNN,0
00073.com,NNNNN,0
00074.com,NNNNN,0
00075.com,NNNNN,0
00076.com,NNNNN,0
00077.com,NNNNN,0
00078.com,NNNNN,0
00079.com,NNNNN,0
00080.com,NNNNN,0
00081.com,NNNNN,0
00082.com,NNNNN,0
00083.com,NNNNN,0
00084.com,NNNNN,0
00085.com,NNNNN,0
00086.com,NNNNN,0
00087.com,NNNNN,0
00088.com,NNNNN,0
00089.com,NNNNN,0
00090.com,NNNNN,0
00091.com,NNNNN,0
00092.com,NNNNN,0
00093.com,NNNNN,0
00094.com,NNNNN,0
00095.com,NNNNN,0
00096.com,NNNNN,0
00097.com,NNNNN,0
00098.com,NNNNN,0
00099.com,NNNNN,0
00100.com,NNNNN,0
00101.com,NNNNN,0
00102.com,NNNNN,0
00103.com,NNNNN,0
00104.com,NNNNN,0
00105.com,NNNNN,0
00106.com,NNNNN,0
00107.com,NNNNN,0
00108.com,NNNNN,0
00109.com,NNNNN,0
00110.com,NNNNN,0
00111.com,NNNNN,0
00112.com,NNNNN,0
00113.com,NNNNN,0
00114.com,NNNNN,0
00115.com,NNNNN,0
00116.com,NNNNN,0
00117.com,NNNNN,0
00118.com,NNNNN,0
00119.com,NNNNN,0
